date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
30/10/2020,utla,E06000052,Cornwall and Isles of Scilly,2352,33
30/10/2020,utla,E08000030,Walsall,5382,152
29/10/2020,utla,E08000024,Sunderland,7340,146
29/10/2020,utla,E06000050,Cheshire West and Chester,5793,144
29/10/2020,utla,E08000015,Wirral,7964,92
29/10/2020,utla,E06000001,Hartlepool,2275,49
29/10/2020,utla,E09000007,Camden,2332,41
29/10/2020,utla,S12000018,Inverclyde,660,7
29/10/2020,utla,E06000014,York,4353,64
29/10/2020,utla,E06000004,Stockton-on-Tees,4588,80
29/10/2020,utla,E06000015,Derby,4121,134
29/10/2020,utla,E08000001,Bolton,10384,206
29/10/2020,utla,E06000056,Central Bedfordshire,2315,52
29/10/2020,utla,E06000032,Luton,3377,75
29/10/2020,utla,N09000006,Fermanagh and Omagh,1387,26
29/10/2020,utla,E06000007,Warrington,5844,158
29/10/2020,utla,E09000029,Sutton,1996,42
29/10/2020,utla,E06000022,Bath and North East Somerset,2097,68
29/10/2020,utla,E06000012,North East Lincolnshire,2091,115
29/10/2020,utla,E08000021,Newcastle upon Tyne,11424,114
29/10/2020,utla,E06000045,Southampton,2255,62
29/10/2020,utla,E09000023,Lewisham,2829,49
29/10/2020,utla,E06000025,South Gloucestershire,2984,135
29/10/2020,utla,E06000040,Windsor and Maidenhead,1430,28
29/10/2020,utla,W06000004,Denbighshire,1465,46
29/10/2020,utla,E06000030,Swindon,2288,60
29/10/2020,utla,E06000024,North Somerset,2011,73
29/10/2020,utla,E06000002,Middlesbrough,3481,51
29/10/2020,utla,W06000003,Conwy,1477,17
29/10/2020,utla,W06000020,Torfaen,1083,31
29/10/2020,utla,E06000047,County Durham,12294,247
29/10/2020,utla,W06000002,Gwynedd,1173,12
29/10/2020,utla,E10000012,Essex,12382,210
29/10/2020,utla,N09000004,Causeway Coast and Glens,1961,47
29/10/2020,utla,E09000026,Redbridge,3987,110
29/10/2020,utla,E10000031,Warwickshire,7002,165
29/10/2020,utla,W06000005,Flintshire,2147,55
29/10/2020,utla,E08000032,Bradford,18980,472
29/10/2020,utla,E09000003,Barnet,4361,69
29/10/2020,utla,E09000010,Enfield,3599,81
29/10/2020,utla,E06000026,Plymouth,2270,67
29/10/2020,utla,E06000018,Nottingham,13428,165
29/10/2020,utla,E09000009,Ealing,4783,120
29/10/2020,utla,S12000026,Scottish Borders,708,7
29/10/2020,utla,E08000009,Trafford,6065,132
29/10/2020,utla,W06000013,Bridgend,2416,73
29/10/2020,utla,E06000033,Southend-on-Sea,1438,26
29/10/2020,utla,N09000005,Derry City and Strabane,5355,72
29/10/2020,utla,E08000023,South Tyneside,3586,48
29/10/2020,utla,E06000044,Portsmouth,2444,59
29/10/2020,utla,E06000035,Medway,2083,68
29/10/2020,utla,S12000049,Glasgow City,13487,257
29/10/2020,utla,E06000027,Torbay,983,39
29/10/2020,utla,E09000019,Islington,2188,42
29/10/2020,utla,E08000016,Barnsley,6850,198
29/10/2020,utla,E09000027,Richmond upon Thames,1978,36
29/10/2020,utla,E08000008,Tameside,7246,179
29/10/2020,utla,E10000019,Lincolnshire,7455,239
29/10/2020,utla,E06000037,West Berkshire,1026,21
29/10/2020,utla,W06000011,Swansea,4543,172
29/10/2020,utla,E08000019,Sheffield,18523,356
29/10/2020,utla,E06000054,Wiltshire,2909,82
29/10/2020,utla,N09000008,Mid and East Antrim,1730,36
29/10/2020,utla,E06000046,Isle of Wight,617,11
29/10/2020,utla,E08000036,Wakefield,7748,254
29/10/2020,utla,E10000025,Oxfordshire,6821,155
29/10/2020,utla,E06000041,Wokingham,1272,23
29/10/2020,utla,S12000017,Highland,603,7
29/10/2020,utla,W06000009,Pembrokeshire,589,14
29/10/2020,utla,E09000005,Brent,3882,60
29/10/2020,utla,E08000033,Calderdale,4648,113
29/10/2020,utla,S12000039,West Dunbartonshire,1471,23
29/10/2020,utla,E06000034,Thurrock,1594,45
29/10/2020,utla,N09000002,"Armagh City, Banbridge and Craigavon",3287,86
29/10/2020,utla,E10000007,Derbyshire,11798,399
29/10/2020,utla,E09000024,Merton,2041,46
29/10/2020,utla,E08000011,Knowsley,6336,93
29/10/2020,utla,E06000023,"Bristol, City of",8023,282
29/10/2020,utla,E09000012,Hackney and City of London,3475,42
29/10/2020,utla,E06000057,Northumberland,5190,106
